İlçe,2022 (Tüketim-m3),2021 (Tüketim-m3),2020(Tüketim-m3),2019 (Tüketim-m3),2018 (Tüketim-m3),2017(Tüketim-m3),2016 (Tüketim-m3),2015 (Tüketim-m3)
ADALAR,1543403,1435991,1513070,1371291,1399182,1366581,1472276,1432494
ARNAVUTKÖY,18891299,17102127,15570466,13818204,11404878,10176132,9178953,8002123
ATAŞEHİR ,24377611,24281319,23737630,22428468,21496185,21205911,19974097,18597049
AVCILAR,21556002,20690506,20824893,19485453,18312736,17558403,17052253,16220476
B.ÇEKMECE,17412198,16167480,16015731,13606571,12222470,11172787,10788924,9915435
BAHÇELİEVLER,29152163,27729806,29008190,27841515,26167510,24868593,24320533,23610609
BAKIRKÖY,15658908,15553880,16341601,15774446,15846543,12509301,11793169,11510117
BAYRAMPAŞA,14188089,13716008,14121835,13630782,13226158,12516185,11914393,11545682
BAĞCILAR,35848593,34658417,35237135,32393615,31241616,29362186,28182511,26691720
BAŞAKŞEHİR,31722402,30164361,27940128,25124137,21789720,19576095,18100255,16174934
BEYKOZ,14201827,14309594,14110935,12651607,12018646,11331655,10891434,10254740
BEYLİKDÜZÜ,22961265,20415406,20325425,17387725,16738110,14948006,13630387,12346365
BEYOĞLU,16331938,14150050,14377004,14217061,12276523,11420559,11311755,11167382
BEŞİKTAŞ,15995329,15485294,15540651,14877984,13159182,12609953,12385216,11976186
ESENLER,20316717,19594278,20448476,19175326,17804043,17162651,16584976,15854265
ESENYURT,52836878,48988082,59865610,43576187,39205682,36083030,32799007,27933397
EYÜPSULTAN,22896218,22049182,22471320,21229333,19353177,18222331,17901848,17116911
FATİH,28078147,24965681,25146679,25804441,23898917,21983686,21781211,22358121
GOP,21711282,21273432,21523489,20339712,19614773,18940716,18637751,17730853
GÜNGÖREN,14305999,13788130,14181195,13925783,13316278,12769886,12600044,18994573
K.ÇEKMECE,38832413,38030116,38012294,35731905,33889979,31994320,31086665,29188561
KADIKÖY,30933432,30091668,30335037,29163147,26133035,24797597,24310256,23910542
KARTAL,25696738,23426846,24044402,22120380,21603458,20375603,20007459,19155143
KAĞITHANE,23152747,21257865,22615121,20978127,20103122,19286724,19030632,18207418
MALTEPE,27824535,26468078,27235906,26072596,24122700,22703875,22794286,21906064
PENDİK,38555916,36672757,36518039,33631440,31793762,29743117,28474258,26499977
SANCAKTEPE,21957759,20714459,20334753,18066203,16749300,15239008,14090151,12313398
SARIYER,25503566,23646023,23409803,21989067,20565527,19427187,18711570,17555072
SULTANBEYLİ,14450593,13794759,13732990,12120982,11481268,10814861,10224559,9599250
SALTANGAZİ,24147507,23226015,23549732,21540504,20317332,19163693,18219393,17142236
SİLİVRİ,13216660,12232563,11744060,10056059,8941729,8452805,8227604,7620350
TUZLA,24758012,32598699,20495275,16936290,14956036,13625147,12690324,11546080
ZEYTİNBURNU,16887563,15630079,15842440,14827378,14272304,13469519,13068037,12576945
ÇATALCA,4961608,4853591,5038009,4080220,3665598,3311210,3222450,2931018
ÇEKMEKÖY,14902585,13369537,13337413,11658154,10808688,10205702,9705483,8951936
ÜMRANİYE,37618657,35801227,36324008,33918205,32858425,31061816,30065065,28085173
ÜSKÜDAR,29904256,29074076,29491392,28298739,27205893,26353986,26110542,25142059
ŞİLE,4247815,3928416,3962073,2965979,2522410,2196246,2098928,1835302
ŞİŞLİ,20376715,18357725,19240101,18875509,17063291,16076563,15948709,15717630
